Kanji;Level;Grade;Strokes;UpperReading;LowerReading;MeaningEng;MeaningRus;;
海;2;2;9;カイ;うみ;sea;;;
酒;3;3;10;シュ;さけ;rice wine, liquor;;;
待;2;3;9;タイ;ま-つ, まち;wait, hospitality;;;
校;1;1;10;コウ;-;school;;;
時;1;2;10;ジ;とき;time, hour;;;
言;1;2;7;ゲン, ゴン;い-う;say;;;
計;2;2;9;ケイ;はか-る;measure;;;
語;1;2;14;ゴ;かた-る;word, language;;;
飯;2;4;12;ハン;めし;meal, food, cooked rice;;;
宅;3;6;6;タク;-;home, house, residence;;;
客;3;3;9;キャク;-;guest, customer;;;
室;2;2;9;シツ;-;room;;;
家;2;2;10;カ, ケ;いえ, や;house;;;
英;2;4;8;エイ;-;superb, (for England);;;
薬;2;3;16;ヤク;くすり;medicine;;;
会;1;2;6;カイ;あ-う;meeting, association;;;
今;1;2;4;コン;いま;now, present;;;
雪;3;2;11;セツ;ゆき;snow;;;
雲;3;2;12;ウン;くも;cloud;;;
電;1;2;13;デン;-;electricity;;;
売;2;2;7;バイ;う-る;sell;;;
広;2;2;5;コウ;ひろ-い;wide, spacious;;;
店;1;2;8;テン;みせ;shop;;;
度;2;3;9;ド;-;degree, frequency;;;
病;2;3;10;ビョウ;-;sick;;;
疲;4;8;10;ヒ;つか-れる;fatigue, worn out;;;
痛;4;6;12;ツウ;いた-い, いた-む;pain;;;
屋;2;3;9;オク;や;roof, house, shop;;;
国;1;2;8;コク;くに;country;;;
回;2;2;6;カイ;まわ-す, まわ-る;turn, round;;;
困;3;6;7;コン;こま-る;trouble;;;
開;2;3;12;カイ;あ-く, ひら-く, あ-ける;open;;;
閉;3;6;11;ヘイ;し-まる, し-める, と-じる;close;;;
近;2;2;7;キン;ちか-い;near, recent;;;
遠;2;2;13;エン;とお-い;far, remote;;;
速;3;3;10;ソク;はや-い;speedy;;;
遅;4;8;12;チ;おそ-い, おく-れる;slow, late;;;
道;1;2;12;ドウ;みち;way, street;;;
青;2;1;8;セイ;あお-い;blue;;;
晴;3;2;12;セイ;は-れる, は-れ;fine, clear up;;;
静;3;4;14;セイ;しず-かな;silent, still;;;
寺;3;2;6;ジ;てら;temple;;;
持;2;3;9;ジ;も-つ;hold;;;
荷;4;3;10;カ;に;load;;;
歌;2;2;14;カ;うた, うた-う;song;;;
友;1;2;4;ユウ;とも;friend;;;
父;1;2;4;フ;ちち;father;;;
母;1;2;5;ボ;はは;mother;;;
兄;2;2;5;キョウ, ケイ;あに;elder brother;;;
姉;2;2;8;シ;あね;elder sister;;;
弟;2;2;7;テイ, -ダイ;おとうと;younger brother;;;
妹;2;2;8;マイ;いもうと;younger sister;;;
夫;3;4;4;フ, フウ;おっと;husband;;;
妻;3;5;8;サイ;つま;wife;;;
彼;4;8;8;ヒ;かれ, かの-;he;;;
主;2;3;5;シュ;ぬし, おも-な;lord, chief, main, owner;;;
奥;4;8;12;オウ;おく;deep, inside, interior;;;
元;2;2;4;ゲン, ガン;もと;origin, source, base;;;
気;1;1;6;キ;-;spirit, mind, air, atmosphere;;;
有;2;3;6;ユウ;あ-る;possess, have, exist;;;
名;1;1;6;メイ, ミョウ;な;name, famous, members;;;
親;2;2;16;シン;おや, した-しい;parent, kinship;;;
切;2;2;4;セツ;き-る, きっ-;cut, end, moderate;;;
便;2;4;9;ベン, ビン;たよ-り;current, traffic, convenience;;;
利;3;4;7;リ;き-く;profit, proficient;;;
不;2;4;4;フ, ブ-;-;un-, in-, not;;;
若;3;6;8;ジャク;わか-い;young;;;
早;2;1;6;ソウ;はや-い;early;;;
忙;4;8;6;ボウ;いそが-しい;busy;;;
出;1;1;5;シュツ, シュッ-;で-る, だ-す;come, go out;;;
入;1;1;2;ニュウ;はい-る, い-れる;enter, put in;;;
乗;2;3;9;ジョウ;の-る, の-せる;ride;;;
降;3;6;10;コウ;お-りる, ふ-る, お-ろす;descend;;;
着;2;3;12;チャク;き-る, つ-く;reach, arrive, wear;;;
渡;4;8;12;ト;わた-る, わた-す;cross;;;
通;2;2;10;ツウ;とお-る, かよ-う, とお-す;pass, commute;;;
走;2;2;7;ソウ;はし-る;run;;;
歩;2;2;8;ホ, -ポ;ある-く;walk;;;
止;2;2;4;シ;と-まる, と-める;stop;;;
動;2;3;11;ドウ;うご-く, うご-かす;move;;;
働;2;4;13;ドウ;はたら-く;work;;;
右;1;1;5;ウ, ユウ;みぎ;right;;;
左;1;1;5;サ;ひだり;left;;;
東;1;2;8;トウ;ひがし;east;;;
西;1;2;6;セイ, サイ;にし;west;;;
北;1;2;5;ホク, ホッ-;きた;north;;;
南;1;2;9;ナン;みなみ;south;;;
外;1;2;5;ガイ, ゲ;はず-れる, そと, はず-す, ほか;out, outer, other, foreign;;;
内;2;2;4;ナイ;うち;inside, within, inner;;;
部;3;3;11;ブ;-;department, section, club, part;;;
駅;1;3;14;エキ;-;station;;;
社;1;2;7;シャ, -ジャ;-;shrine, company, assembling;;;
院;2;3;10;イン;-;hall, house, institute;;;
地;2;2;6;チ, ジ;-;ground, base;;;
鉄;3;3;13;テツ;-;iron;;;
工;2;2;3;コウ;-;craft, skill, construction;;;
場;2;2;12;ジョウ;ば;scene, place;;;
図;2;2;7;ズ, ト;-;diagram, devise;;;
館;2;3;16;カン;-;mansion, hall;;;
公;3;2;4;コウ;おおやけ;public, official;;;
園;3;2;13;エン;その;garden;;;
住;2;3;7;ジュウ;す-む;dwell, inhabit;;;
所;2;3;8;ショ, -ジョ;ところ;place, that which;;;
番;3;2;12;バン;-;number, order;;;
号;3;3;5;ゴウ;-;call, naming, [suffix] order;;;
市;2;2;5;シ;いち;city, market;;;
町;2;1;7;チョウ;まち;town;;;
村;2;1;7;ソン;むら;village;;;
区;2;3;4;ク;-;division, section, ward;;;
都;2;3;11;ト;みやこ;capital, big city, Tokyo;;;
府;3;4;8;フ;-;administrative, prefecture;;;
県;2;3;9;ケン;-;prefecture;;;
島;3;3;10;トウ;しま;island;;;
京;2;2;8;キョウ, ケイ;-;capital;;;
様;3;3;14;ヨウ;さま;appearance, Mr., Mrs., Miss;;;
練;3;3;14;レン;ね-る;knead;;;
習;2;3;11;シュウ;なら-う;practice;;;
勉;2;3;10;ベン;-;endeavor;;;
強;2;2;11;キョウ;つよ-い;force, strong;;;
研;2;3;9;ケン;-;grind, sharpen;;;
究;2;3;7;キュウ;きわ-める;to carry to extremity;;;
留;3;5;10;リュウ;と-まる, と-める;stay, detain;;;
質;2;5;15;シツ;-;quality, question;;;
問;2;3;11;モン;と-う, とい;inquire, question;;;
題;2;3;18;ダイ;-;title, theme;;;
答;2;2;12;トウ;こた-える;answer;;;
宿;3;3;11;シュク;やど;lodging, dwelling;;;
政;3;5;9;セイ;-;administration;;;
治;3;4;8;ジ, チ;おさ-まる, なお-る, おさ-める, なお-す;govern;;;
経;3;5;11;ケイ;へ-る;control, pass through;;;
済;3;6;11;サイ, -ザイ;す-む, す-ます;finish, save;;;
歴;3;4;14;レキ;-;career;;;
史;3;4;5;シ;-;history;;;
育;3;3;8;イク;そだ-つ, そだ-てる;breed, raise;;;
化;3;3;4;カ;ば-ける;change, -ization;;;
理;2;2;11;リ;-;reason, ration, logic;;;
科;3;2;9;カ;-;branch, division;;;
数;3;2;13;スウ;かず, かぞ-える;number, some, several;;;
医;2;3;7;イ;-;medical, doctor;;;
映;2;6;9;エイ;うつ-る, うつ-す;reflect;;;
画;2;2;8;ガ, カク;-;picture, Kanji strokes;;;
写;2;3;5;シャ;うつ-る, うつ-す;copy, project;;;
真;2;3;10;シン;ま, まっ-;true, genuine, just, exact;;;
音;2;1;9;オン;おと;sound;;;
楽;2;2;13;ガク, ラク;たの-しい, たの-しむ;amuse, pleasant, music;;;
料;2;4;10;リョウ;-;ingredients, fee, fare;;;
組;3;2;11;ソ;く-む, くみ, -ぐみ;assemble, unite;;;
思;2;2;9;シ;おも-う;think, fancy;;;
色;2;2;6;ショク;いろ;color, feature;;;
白;1;1;5;ハク;しろ, しろ-い;white, confess;;;
黒;2;2;11;コク;くろ, くろ-い;black;;;
赤;2;1;7;セキ;あか, あか-い;red;;;
起;2;3;10;キ;お-きる, お-きる, おこ-す;rise, initiate;;;
寝;4;8;13;シン;ね-る, ね-かす;sleep;;;
遊;3;3;12;ユウ;あそ-ぶ;play, fun, wander;;;
立;1;1;5;リツ;た-つ, たち-, たてる;stand, establish;;;
座;3;6;10;ザ;すわ-る;seat;;;
使;2;3;8;シ;つか-う;use;;;
始;2;3;8;シ;はじ-まる, はじ-める;begin, start;;;
終;2;3;11;シュウ;お-わる, お-える;end;;;
貸;2;5;12;タイ;か-す;lend, rent;;;
借;2;4;10;シャク, シャッ-;か-りる;borrow, rent;;;
返;3;3;7;ヘン;かえ-る, かえ-す;return, back;;;
送;2;3;9;ソウ;おく-る;send;;;
結;3;4;12;ケツ, ケッ-;むす-ぶ;connect, conclude;;;
婚;3;8;11;コン;-;wedding;;;
離;4;8;19;リ;はな-す, はな-れる;separate;;;
席;3;4;10;セキ;-;seat;;;
欠;3;4;4;ケツ, ケッ-;か-ける, か-く;defect, lack;;;
予;3;3;4;ヨ;-;previous, preparatory;;;
定;3;3;8;テイ;さだ-まる, さだ-める;fix, settle;;;
洋;2;3;9;ヨウ;-;ocean, occidental;;;
式;3;3;6;シキ;-;ceremony, formula, style;;;
和;3;3;8;ワ;-;peace, sum, Japanese;;;
活;3;2;9;カツ, カッ-;-;vivid, vigor;;;
春;2;2;9;シュン;はる;spring;;;
夏;2;2;10;カ;なつ;summer;;;
秋;2;2;9;シュウ;あき;autumn;;;
冬;2;2;5;トウ;ふゆ;winter;;;
暑;2;3;12;ショ;あつ-い;hot (for climate);;;
熱;3;4;15;ネツ, ネッ-;あつ-い;hot (for things);;;
寒;2;3;12;カン;さむ-い;cold (for climate);;;
