Kanji;Level;Grade;Strokes;UpperReading;LowerReading;MeaningEng;MeaningRus;;
丘;0;8;0;キュウ;おか;;;;
丙;0;8;0;ヘイ;;;;;
丞;0;7;0;;;;;;
串;0;10;0;;;;;;
丸;3;2;0;ガン;まる, まる(い);"round; full (month); perfection";;;
丹;0;8;0;タン;;;;;
丼;0;10;0;;;;;;
乃;0;7;0;;;;;;
久;4;5;0;キュウ, ク;ひさ(しい);"long time; old story";;;
之;0;7;0;;;;;;
乎;0;7;0;;;;;;
乏;0;8;0;ボウ;とぼしい;;;;
乘;0;7;0;;;;;;
乙;0;8;0;オツ;;;;;
乞;0;9;0;;;;;;
也;0;7;0;;;;;;
乱;4;6;0;ラン;みだ(れる);"riot; war; disorder; disturb";;;
乳;4;6;0;ニュウ;ちち, ち;milk, breasts;;;
乾;4;8;0;カン;かわ(く);"drought; dry; drink up; heaven";;;
亀;0;10;0;;;;;;
了;4;8;0;リョウ;;"complete; finish";;;
争;3;4;0;ソウ;あらそ(う);contend, dispute, argue;;;
云;0;10;0;;;;;;
互;4;8;0;ゴ;たが(い), かたみ(に);mutually, reciprocally, together;;;
井;0;8;0;ショウ, セイ;い;;;;
亘;0;7;0;;;;;;
亙;0;7;0;;;;;;
些;0;10;0;;;;;;
亜;0;8;0;ア;;;;;
亞;0;7;0;;;;;;
亡;4;6;0;ボウ, モウ;な(くなる);deceased, dying;;;
亥;0;7;0;;;;;;
亦;0;7;0;;;;;;
亨;0;7;0;;;;;;
享;0;8;0;キョウ;;;;;
亭;0;8;0;テイ;;;;;
亮;0;7;0;;;;;;
仁;0;6;0;ジン, ニ;;;;;
介;4;8;0;カイ;;"jammed in; shellfish; mediate";;;
仏;4;5;0;ブツ;ほとけ;"Buddha; the dead";;;
仔;0;7;0;;;;;;
他;3;3;0;タ;ほか;other, another;;;
付;3;4;0;フ;つ(ける);adhere, attach, refer to, append;;;
仙;0;8;0;セン;;;;;
令;3;4;0;レイ;;"orders; command; decree";;;
仮;4;5;0;カ, ケ;かり;;;;
仰;0;8;0;ギョウ, コウ;あおぐ, おおせ;;;;
仲;4;4;0;チュウ;なか;"go-between; relationship";;;
件;3;5;0;ケン;くだん;affair, case, matter;;;
任;3;5;0;ニン;まか(せる);responsibility, duty;;;
企;4;8;0;キ;くわだてる;;;;
伊;0;10;0;;;;;;
伍;0;7;0;;;;;;
伎;0;9;0;;;;;;
伏;0;8;0;フク;ふす, ふせる;;;;
伐;0;8;0;バツ;;;;;
伯;0;8;0;ハク;;;;;
伴;0;8;0;ハン, バン;ともなう;;;;
伶;0;7;0;;;;;;
伸;4;8;0;シン;の(びる);"expand; stretch; extend";;;
伺;4;8;0;シ;うかが(う);"visit; ask; inquire; question";;;
似;4;5;0;ジ, ね;に(る);becoming, resemble, imitate;;;
伽;0;10;0;;;;;;
佃;0;10;0;;;;;;
但;0;8;0;ただし;;;;;
佐;0;8;0;サ;;;;;
佑;0;7;0;;;;;;
余;3;5;0;ヨ;あま(る);too much, surplus;;;
佛;0;7;0;;;;;;
佳;0;8;0;カ;;;;;
併;0;8;0;ヘイ;あわせる;;;;
侃;0;7;0;;;;;;
來;0;7;0;;;;;;
例;3;4;0;レイ;たと(えば);example;;;
侍;0;8;0;ジ;さむらい;;;;
侑;0;7;0;;;;;;
供;3;6;0;キョウ, ク, クウ;そな(える), とも;submit, offer, present, accompany;;;
依;4;8;0;イ, エ;よ(る);"reliant; depend on; consequently; therefore; due to";;;
侮;0;8;0;ブ;あなどる;;;;
侯;0;8;0;コウ;;;;;
侵;0;8;0;シン;おかす;;;;
侶;0;9;0;;;;;;
係;3;3;0;ケイ;かか(る), かかり;person in charge, connection;;;
促;0;8;0;ソク;うながす;;;;
俄;0;10;0;;;;;;
俊;0;8;0;シュン;;;;;
俐;0;7;0;;;;;;
俗;0;8;0;ゾク;;;;;
保;3;5;0;ホ, ホウ;たも(つ);protect, guarantee, keep;;;
俠;0;7;0;;;;;;
俣;0;7;0;;;;;;
修;4;5;0;シュ, シュウ, おさまる, おさめる;;;;;
俳;0;6;0;ハイ;;;;;
俵;0;5;0;ヒョウ, たわら;;;;;
俸;0;8;0;ホウ;;;;;
俺;0;10;0;;;;;;
倉;0;4;0;ソウ, くら;;;;;
倍;4;3;0;バイ;;"double; twice; times; fold";;;
倒;4;8;0;トウ;たお(れる);overthrow, fall, collapse;;;
倖;0;7;0;;;;;;
候;3;4;0;コウ;そうろう;climate, season, weather;;;
倣;0;8;0;ホウ, ならう;;;;;
値;4;6;0;チ;ね, あたい;price, cost, value;;;
倦;0;7;0;;;;;;
倫;0;8;0;リン;;;;;
倭;0;7;0;;;;;;
倶;0;10;0;;;;;;
倹;0;8;0;ケン;;;;;
偉;4;8;0;イ;えら(い);admirable, greatness;;;
偏;0;8;0;ヘン, かたよる;;;;;
停;4;4;0;テイ;と(める);"halt; stopping";;;
健;3;4;0;ケン, すこやか;;;;;
偲;0;7;0;;;;;;
側;3;4;0;ソク;がわ, そば;side, lean, oppose;;;
偵;0;8;0;テイ;;;;;
偶;4;8;0;グウ;たま;accidentally, even number;;;
偽;0;8;0;ギ, いつわる, にせ;;;;;
傍;0;8;0;ボウ, かたわら;;;;;
傑;0;8;0;ケツ;;;;;
傘;0;8;0;サン, かさ;;;;;
催;0;8;0;サイ, もよおす;;;;;
傭;0;7;0;;;;;;
傲;0;9;0;;;;;;
傳;0;7;0;;;;;;
債;0;8;0;サイ;;;;;
傷;0;6;0;ショウ, いたむ, いためる, きず;;;;;
傾;4;8;0;ケイ;かたむ(く);"lean; incline; tilt; trend; bias";;;
僅;0;10;0;;;;;;
像;4;5;0;ゾウ;;"statue; picture; image; figure";;;
僑;0;10;0;;;;;;
僕;0;8;0;ボク;;;;;
僚;0;8;0;リョウ;;;;;
僞;0;7;0;;;;;;
僧;0;8;0;ソウ;;;;;
價;0;7;0;;;;;;
僻;0;10;0;;;;;;
儀;0;8;0;ギ;;;;;
億;4;4;0;オク;;"hundred million; 10**8";;;
儉;0;7;0;;;;;;
儒;0;8;0;ジュ;;;;;
償;0;8;0;ショウ, つぐなう;;;;;
優;4;6;0;ユウ, ウ;やさ(しい), すぐ(れる);tenderness, kind, actor;;;
儲;0;7;0;;;;;;
允;0;10;0;;;;;;
充;0;8;0;ジュウ, あてる;;;;;
兆;4;4;0;チョウ;きざ(す);"trillion; sign; omen; symptoms";;;
光;2;2;0;コウ;ひか(る), ひかり;ray, light;;;
克;0;8;0;コク;;;;;
免;0;8;0;メン, まぬかれる;;;;;
兎;0;10;0;;;;;;
児;4;4;0;ジ;こ;"newborn babe; child";;;
兒;0;7;0;;;;;;
党;3;6;0;トウ;;party, faction, clique;;;
兜;0;10;0;;;;;;
兵;4;4;0;ヘイ, ヒョウ;つわもの;"soldier; private; troops; army";;;
其;0;10;0;;;;;;
典;4;4;0;テン;;;;;
兼;0;8;0;ケン, かねる;;;;;
冊;4;6;0;サツ;;"counter for books; volume";;;
再;3;5;0;サイ, サ;ふたた(び);again, twice, second time;;;
冒;0;8;0;ボウ, おかす;;;;;
冗;0;8;0;ジョウ;;;;;
冠;0;8;0;カン, かんむり;;;;;
冥;0;9;0;;;;;;
冨;0;7;0;;;;;;
冴;0;10;0;;;;;;
冶;0;9;0;;;;;;
凄;0;10;0;;;;;;
准;0;8;0;ジュン;;;;;
凉;0;7;0;;;;;;
凌;0;7;0;;;;;;
凍;4;8;0;トウ;こお(る), こご(える);"frozen; refrigerate";;;
凛;0;7;0;;;;;;
凜;0;7;0;;;;;;
凝;0;8;0;ギョウ, こらす, こる;;;;;
凡;0;8;0;ハン, ボン;;;;;
処;4;6;0;ショ;;dispose, manage, deal with;;;
凧;0;10;0;;;;;;
凪;0;7;0;;;;;;
凰;0;7;0;;;;;;
凱;0;7;0;;;;;;
凶;0;8;0;キョウ;;;;;
凸;0;8;0;トツ;;;;;
凹;0;8;0;オウ;;;;;
函;0;7;0;;;;;;
刀;4;2;0;トウ, かたな;;;;;
刃;0;8;0;ジン, は;;;;;
刈;0;8;0;-;かる;;;;
刊;4;5;0;カン;;"publish; carve; engrave";;;
刑;0;8;0;ケイ;;;;;
列;4;3;0;レツ, レ;;file, row, column;;;
判;3;5;0;ハン;;judgement, signature;;;
刷;4;4;0;サツ;す(る), は(く);"printing; print; brush";;;
券;4;5;0;ケン;;ticket;;;
刹;0;7;0;;;;;;
刺;4;8;0;シ;さ(す), さし, とげ;thorn, pierce, stab, prick, sting;;;
刻;4;6;0;コク;きざ(む);engrave, cut fine, chop;;;
剃;0;10;0;;;;;;
則;3;5;0;ソク;のっと(る);"rule; follow; based on";;;
削;0;8;0;サク, けずる;;;;;
剖;0;8;0;ボウ;;;;;
剛;0;8;0;ゴウ;;;;;
剣;0;8;0;ケン, つるぎ;;;;;
剤;0;8;0;ザイ;;;;;
剥;0;9;0;;;;;;
剩;0;7;0;;;;;;
副;3;4;0;フク;;"vice-; assistant; aide; duplicate; copy";;;
剰;0;8;0;ジョウ;;;;;
創;0;6;0;ソウ;;;;;
劇;4;6;0;ゲキ;;"drama; play";;;
劉;0;7;0;;;;;;
劍;0;7;0;;;;;;
功;4;4;0;ク, コウ;;;;;
劣;0;8;0;レツ, おとる;;;;;
助;3;3;0;ジョ;たす(ける);help, rescue, assist;;;
努;3;4;0;ド;つと(める);toil, diligent, as much as possible;;;
劫;0;7;0;;;;;;
励;0;8;0;レイ, はげます, はげむ;;;;;
労;3;4;0;ロウ;ろう(する), いたわ(る), ねぎら(う);labor, thank for;;;
劾;0;8;0;ガイ;;;;;
勁;0;7;0;;;;;;
勃;0;9;0;;;;;;
勅;0;8;0;チョク;;;;;
勇;4;4;0;ユウ;いさ(む);"courage; cheer up; bravery; heroism";;;
勘;0;8;0;カン;;;;;
務;3;5;0;ム;つと(める);task, duties;;;
勝;3;3;0;ショウ;か(つ), まさ(る);victory, win;;;
募;4;8;0;ボ;つの(る);"recruit; campaign";;;
勢;3;5;0;セイ;いきお(い);"forces; energy; military strength";;;
勤;3;6;0;キン, ゴン;つと(める);diligence, employed, serve;;;
勧;0;8;0;カン, すすめる;;;;;
勲;0;8;0;クン;;;;;
勳;0;7;0;;;;;;
勺;0;8;0;シャク;;;;;
勾;0;7;0;;;;;;
勿;0;10;0;;;;;;
匁;0;8;0;-;もんめ;;;;
匂;0;10;0;;;;;;
包;3;4;0;ホウ;つつ(む), くる(む);"wrap; pack up; cover; conceal";;;
匙;0;10;0;;;;;;
匠;0;8;0;ショウ;;;;;
匡;0;10;0;;;;;;
匹;4;8;0;ヒツ;ひき;counter for small animals;;;
匿;0;8;0;トク;;;;;
升;0;8;0;ショウ, ます;;;;;
卑;0;8;0;ヒ, いやしい, いやしむ, いやしめる;;;;;
卓;0;8;0;タク;;;;;
協;3;4;0;キョウ;;co-, cooperation;;;
博;0;4;0;ハク, バク;;;;;
卜;0;7;0;;;;;;
占;4;8;0;セン;し(める), うらな(う);"fortune-telling; divining; forecasting";;;
卯;0;7;0;;;;;;
印;3;4;0;イン;しるし;"stamp; seal; mark; symbol; trademark";;;
危;3;6;0;キ;あぶ(ない), あや(うい);dangerous, fear, uneasy;;;
即;0;8;0;ソク;;;;;
却;0;8;0;キャク;;;;;
卵;4;6;0;ラン;たまご;egg;;;
卷;0;7;0;;;;;;
卸;0;8;0;おろし, おろす;;;;;
卿;0;10;0;;;;;;
厄;0;8;0;ヤク;;;;;
厘;0;8;0;リン;;;;;
厚;4;5;0;コウ;あつ(い);"thick; heavy; rich";;;
厨;0;7;0;;;;;;
厩;0;7;0;;;;;;
厳;0;6;0;ゲン, ゴン, おごそか, きびしい;;;;;
去;2;3;0;キョ, コ;さ(る);gone, past, quit, leave, elapse, eliminate;;;
参;3;4;0;サン;まい(る);going, coming, participate;;;
又;0;8;0;-;また;;;;
叉;0;10;0;;;;;;
及;4;8;0;キュウ, および, およぶ, およぼす;;;;;
双;4;8;0;ソウ;ふた;"pair; set; comparison; counter for pairs";;;
収;4;6;0;シュウ;おさ(める);income, obtain, reap, pay, supply, store;;;
叔;0;8;0;シュク;;;;;
叙;0;8;0;ジョ;;;;;
叡;0;7;0;;;;;;
叢;0;7;0;;;;;;
句;0;5;0;ク;;;;;
叩;0;10;0;;;;;;
只;0;10;0;;;;;;
叫;4;8;0;キョウ;さけ(ぶ);"shout; exclaim; yell";;;
召;4;8;0;ショウ;め(す);"call; send for; wear; buy, to eat, to drink";;;
可;4;5;0;カ;;;;;
叱;0;10;0;;;;;;
叶;0;10;0;;;;;;
司;4;4;0;シ;;;;;
各;3;4;0;カク;おのおの;"each; every; either";;;
吉;0;8;0;キチ, キツ;;;;;
吊;0;10;0;;;;;;
后;0;6;0;コウ;;;;;
吏;0;8;0;リ;;;;;
吐;0;8;0;ト, はく;;;;;
君;4;3;0;クン;きみ;you, male name suffix;;;
吟;0;8;0;ギン;;;;;
吠;0;10;0;;;;;;
否;4;6;0;ヒ;いな, いや;negate, no, decline;;;
含;4;8;0;ガン;ふく(む);"contain; include";;;
吸;3;6;0;キュウ;す(う);suck, inhale;;;
吹;4;8;0;スイ;ふ(く);blow, breathe, puff;;;
吻;0;7;0;;;;;;
吾;0;7;0;;;;;;
呂;0;10;0;;;;;;
呈;0;8;0;テイ;;;;;
呉;0;8;0;ゴ;;;;;
呟;0;10;0;;;;;;
周;3;4;0;シュウ;まわ(り);"circumference; circuit; lap";;;
呪;0;10;0;;;;;;
命;3;3;0;メイ, ミョウ;いのち;fate, command;;;
咀;0;10;0;;;;;;
咲;4;8;0;ショウ;さ(く);"blossom; bloom";;;
咳;0;10;0;;;;;;
咽;0;9;0;;;;;;
哀;0;8;0;アイ, あわれ, あわれむ;;;;;
哉;0;7;0;;;;;;
哨;0;10;0;;;;;;
哩;0;7;0;;;;;;
哲;0;8;0;テツ;;;;;
唄;0;10;0;;;;;;
唆;0;8;0;サ, そそのかす;;;;;
唇;0;8;0;シン, くちびる;;;;;
唐;0;8;0;トウ, から;;;;;
唯;0;8;0;イ, ユイ;;;;;
唱;0;4;0;ショウ, となえる;;;;;
唾;0;9;0;;;;;;
啄;0;7;0;;;;;;
啓;0;8;0;ケイ;;;;;
善;4;6;0;ゼン, よい;;;;;
喉;0;10;0;;;;;;
喋;0;10;0;;;;;;
喚;0;8;0;カン;;;;;
喝;0;8;0;カツ;;;;;
喧;0;10;0;;;;;;
喩;0;9;0;;;;;;
喪;0;8;0;ソウ, も;;;;;
喫;4;8;0;キツ;の(む);consume, eat, drink, smoke, receive;;;
喬;0;7;0;;;;;;
單;0;7;0;;;;;;
喰;0;7;0;;;;;;
嗅;0;9;0;;;;;;
嗣;0;8;0;シ;;;;;
嘆;0;8;0;タン, なげかわしい, なげく;;;;;
嘉;0;7;0;;;;;;
嘗;0;10;0;;;;;;
嘘;0;10;0;;;;;;
嘩;0;10;0;;;;;;
嘱;0;8;0;ショク;;;;;
嘲;0;9;0;;;;;;
噂;0;10;0;;;;;;
噌;0;7;0;;;;;;
噛;0;10;0;;;;;;
噴;0;8;0;フン, ふく;;;;;
嚇;0;8;0;カク;;;;;
嚴;0;7;0;;;;;;
囚;0;8;0;シュウ;;;;;
因;3;5;0;イン;よ(る), ちな(む);cause, factor, depend on;;;
団;3;5;0;ダン, トン;;group, association;;;
囲;4;4;0;イ;かこ(む);"surround; enclosure; preserve; keep";;;
固;4;4;0;コ;かた(める);"harden; set; clot; curdle";;;
圃;0;7;0;;;;;;
圈;0;7;0;;;;;;
國;0;7;0;;;;;;
圏;0;8;0;ケン;;;;;
圓;0;7;0;;;;;;
團;0;7;0;;;;;;
圧;4;5;0;アツ;お(す);"pressure; push; overwhelm; oppress";;;
在;3;5;0;ザイ;あ(る);exist, outskirts;;;
圭;0;7;0;;;;;;
坂;4;3;0;ハン;さか;"slope; incline; hill";;;
均;4;5;0;キン;なら(す);"level; average";;;
坊;4;8;0;ボウ, ボッ;;boy, priest;;;
坐;0;7;0;;;;;;
坑;0;8;0;コウ;;;;;
坦;0;7;0;;;;;;
坪;0;8;0;-;つぼ;;;;
垂;0;6;0;スイ, たらす, たれる;;;;;
型;3;4;0;ケイ;かた;"type; model";;;
垢;0;10;0;;;;;;
垣;0;8;0;-;かき;;;;
埋;4;8;0;マイ;う(める);"bury; be filled up; embedded";;;
城;4;6;0;ジョウ, セイ;しろ;castle;;;
埜;0;7;0;;;;;;
域;4;6;0;イキ;;"range; region; limits; stage; level";;;
埴;0;10;0;;;;;;
執;0;8;0;シツ, シュウ, とる;;;;;
培;0;8;0;バイ, つちかう;;;;;
基;4;5;0;キ, もと, もとい;;;;;
埼;0;9;0;;;;;;
堀;0;8;0;-;ほり;;;;
堂;2;4;0;ドウ;;public chamber, hall;;;
堅;0;8;0;ケン, かたい;;;;;
堆;0;10;0;;;;;;
堕;0;8;0;ダ;;;;;
堤;0;8;0;テイ, つつみ;;;;;
堪;0;8;0;カン, たえる;;;;;
堯;0;7;0;;;;;;
堰;0;10;0;;;;;;
堵;0;10;0;;;;;;
堺;0;7;0;;;;;;
塀;0;8;0;ヘイ;;;;;
塁;0;8;0;ルイ;;;;;
塊;0;8;0;カイ, かたまり;;;;;
塑;0;8;0;ソ;;;;;
塔;4;8;0;トウ;;"pagoda; tower; steeple";;;
塗;4;8;0;ト;ぬ(る), ぬ(り);"paint; smear; coating";;;
塙;0;7;0;;;;;;
塚;0;8;0;-;つか;;;;
塞;0;10;0;;;;;;
塩;4;4;0;エン;しお;salt;;;
填;0;9;0;;;;;;
塾;0;8;0;ジュク;;;;;
境;4;5;0;キョウ;さかい;boundary, border, region;;;
墓;0;5;0;ボ, はか;;;;;
墜;0;8;0;ツイ;;;;;
墨;0;8;0;ボク, すみ;;;;;
墳;0;8;0;フン;;;;;
墾;0;8;0;コン;;;;;
壁;4;8;0;ヘキ, かべ;;;;;
壇;0;8;0;タン, ダン;;;;;
壊;0;8;0;カイ, こわす, こわれる;;;;;
壌;0;8;0;ジョウ;;;;;
壕;0;10;0;;;;;;
壘;0;7;0;;;;;;
壞;0;7;0;;;;;;
士;4;4;0;シ;;;;;
壬;0;7;0;;;;;;
壮;0;8;0;ソウ;;;;;
壯;0;7;0;;;;;;
声;2;2;0;セイ, ショウ;こえ;voice;;;
壱;0;8;0;イチ;;;;;
壷;0;10;0;;;;;;
壽;0;7;0;;;;;;
夢;4;5;0;ム;ゆめ;dream, vision;;;
央;3;3;0;オウ;;"center; middle";;;
夷;0;7;0;;;;;;
奄;0;7;0;;;;;;
奇;0;8;0;キ;;;;;
奈;0;10;0;;;;;;
奉;0;8;0;ブ, ホウ, たてまつる;;;;;
奎;0;7;0;;;;;;
奏;0;6;0;ソウ, かなでる;;;;;
契;0;8;0;ケイ, ちぎる;;;;;
奔;0;8;0;ホン;;;;;
套;0;7;0;;;;;;
奧;0;7;0;;;;;;
奨;0;8;0;ショウ;;;;;
奪;0;8;0;ダツ, うばう;;;;;
奬;0;7;0;;;;;;
奮;0;6;0;フン, ふるう;;;;;
奴;0;8;0;ド;;;;;
如;0;8;0;ジョ, ニョ;;;;;
妃;0;8;0;ヒ;;;;;
妄;0;8;0;ボウ, モウ;;;;;
妊;0;8;0;ニン;;;;;
妖;0;9;0;;;;;;
妙;0;8;0;ミョウ;;;;;
妥;0;8;0;ダ;;;;;
妨;0;8;0;ボウ, さまたげる;;;;;
妬;0;10;0;;;;;;
姑;0;10;0;;;;;;
姓;4;8;0;セイ, ショウ;;surname;;;
委;3;3;0;イ;ゆだ(ねる);committee, entrust to;;;
姥;0;10;0;;;;;;
姦;0;10;0;;;;;;
姪;0;7;0;;;;;;
姫;0;8;0;シン;ひめ;;;;
姻;0;8;0;イン;;;;;
姿;4;6;0;シ, すがた;;;;;
威;0;8;0;イ;;;;;
娃;0;7;0;;;;;;
娘;4;8;0;ジョウ;むすめ, こ;daughter, girl;;;
娠;0;8;0;シン;;;;;
娩;0;7;0;;;;;;
娯;0;8;0;ゴ;;;;;
娼;0;10;0;;;;;;
婆;0;8;0;バ;;;;;
婦;3;5;0;フ;よめ;lady, woman, wife;;;
婿;0;8;0;セイ, むこ;;;;;
媒;0;8;0;バイ;;;;;
媛;0;10;0;;;;;;
嫁;0;8;0;カ, とつぐ, よめ;;;;;
嫉;0;9;0;;;;;;
嫌;0;8;0;ケン, ゲン, いや, きらう;;;;;
嫡;0;8;0;チャク;;;;;
嬉;0;10;0;;;;;;
嬢;0;8;0;ジョウ;;;;;
孃;0;7;0;;;;;;
孔;0;8;0;コウ;;;;;
存;3;6;0;ソン, ゾン;;exist, be aware of;;;
孜;0;7;0;;;;;;
孝;0;6;0;コウ;;;;;
孟;0;7;0;;;;;;
季;3;4;0;キ;;seasons;;;
孤;0;8;0;コ;;;;;
孫;4;4;0;ソン;まご;"grandchild; descendants";;;
宇;4;6;0;ウ;;"eaves; roof; house; heaven";;;
守;3;3;0;シュ, ス;まも(る), もり;guard, protect, obey;;;
宋;0;7;0;;;;;;
宏;0;7;0;;;;;;
宕;0;7;0;;;;;;
宗;0;6;0;シュウ, ソウ;;;;;
官;3;4;0;カン;;bureaucrat, the government, organ;;;
宙;4;6;0;チュウ;;;;;
宛;0;10;0;;;;;;
宜;0;8;0;ギ;;;;;
宝;4;6;0;ホウ;たから;"treasure; wealth; valuables";;;
宣;0;6;0;セン;;;;;
宥;0;7;0;;;;;;
宮;4;3;0;キュウ, ク, グウ, みや;;;;;
宰;0;8;0;サイ;;;;;
害;3;4;0;ガイ;;harm, injury;;;
宴;0;8;0;エン;;;;;
宵;0;8;0;ショウ, よい;;;;;
容;3;5;0;ヨウ;;contain, form;;;
寂;0;8;0;ジャク, セキ, さび, さびしい, さびれる;;;;;
寄;3;5;0;キ;よ(る);draw near, gather;;;
寅;0;10;0;;;;;;
密;0;6;0;ミツ;;;;;
富;3;5;0;フ, フウ;と(む), とみ;wealth, enrich, abundant;;;
寓;0;10;0;;;;;;
寛;0;8;0;カン;;;;;
察;3;4;0;サツ;;guess, presume, judge;;;
寡;0;8;0;カ;;;;;
寢;0;7;0;;;;;;
實;0;7;0;;;;;;
寧;0;8;0;ネイ;;;;;
審;0;8;0;シン;;;;;
寮;0;8;0;リョウ;;;;;
寵;0;7;0;;;;;;
寸;0;6;0;スン;;;;;
寿;0;8;0;ジュ, ことぶき;;;;;
封;4;8;0;フウ, ホウ;;"seal; closing";;;
専;4;6;0;セン;もっぱ(ら);"specialty; exclusive; mainly; solely";;;
射;0;6;0;シャ, いる;;;;;
将;4;6;0;ショウ;まさ(に), はた;"leader; commander; general; admiral";;;
將;0;7;0;;;;;;
專;0;7;0;;;;;;
尉;0;8;0;イ;;;;;
尊;4;6;0;ソン;とうと(い);"revered; valuable; precious; noble";;;
尋;0;8;0;ジン, たずねる;;;;;
導;3;5;0;ドウ;みちび(く);"guidance; leading; conduct; usher";;;
尖;0;7;0;;;;;;
尚;0;8;0;ショウ;;;;;
尤;0;10;0;;;;;;
尭;0;7;0;;;;;;
就;0;6;0;シュウ, ジュ, つく, つける;;;;;
尺;0;6;0;シャク;;;;;
尻;0;10;0;;;;;;
尼;0;8;0;ニ, あま;;;;;
尽;0;8;0;ジン, つかす, つきる, つくす;;;;;
尾;0;8;0;ビ, お;;;;;
尿;0;8;0;ニョウ;;;;;
居;4;5;0;キョ, コ;い(る), お(る);reside, to be, exist;;;
屈;0;8;0;クツ;;;;;
届;4;6;0;カイ;とど(ける);"deliver; reach; arrive; report";;;
屑;0;7;0;;;;;;
展;3;6;0;テン;;;;;
属;0;5;0;ゾク;;;;;
層;4;6;0;ソウ;;"stratum; social class; layer; story; floor";;;
履;0;8;0;リ, はく;;;;;
屯;0;8;0;トン;;;;;
岐;0;8;0;キ;;;;;
岡;0;10;0;;;;;;
岬;0;8;0;-;みさき;;;;
岳;0;8;0;ガク, たけ;;;;;
岸;3;3;0;ガン;きし;beach;;;
峠;0;8;0;-;とうげ;;;;
峡;0;8;0;キョウ;;;;;
峨;0;7;0;;;;;;
峯;0;7;0;;;;;;
峰;0;8;0;ホウ, みね;;;;;
峻;0;7;0;;;;;;
峽;0;7;0;;;;;;
崇;0;8;0;スウ;;;;;
崎;0;8;0;-;さき;;;;
崖;0;10;0;;;;;;
崚;0;7;0;;;;;;
崩;0;8;0;ホウ, くずす, くずれる;;;;;
嵐;0;10;0;;;;;;
嵩;0;7;0;;;;;;
嵯;0;7;0;;;;;;
嶋;0;7;0;;;;;;
嶺;0;7;0;;;;;;
巌;0;7;0;;;;;;
巖;0;7;0;;;;;;
州;3;3;0;シュウ;す;"state; province";;;
巡;0;8;0;ジュン, めぐる;;;;;
巣;0;4;0;ソウ, す;;;;;
巧;0;8;0;コウ, たくみ;;;;;
巨;4;8;0;キョ;;"gigantic; big; large; great";;;
差;3;4;0;サ;さ(す);distinction, difference, variation;;;
己;0;6;0;キ, コ, おのれ;;;;;
已;0;7;0;;;;;;
巳;0;7;0;;;;;;
巴;0;10;0;;;;;;
巷;0;7;0;;;;;;
巻;4;6;0;カン;ま(く), まき;"scroll; volume; book; part; roll up; wind up; coil; counter for texts (or book scrolls)";;;
巽;0;10;0;;;;;;
巾;0;9;0;;;;;;
布;4;5;0;フ;ぬの, し(く);"linen; cloth; spread; distribute";;;
帆;0;8;0;ハン, ほ;;;;;
希;3;4;0;キ;まれ, こいねが(う);"hope; beg; request; pray";;;
帖;0;7;0;;;;;;
帝;0;8;0;テイ;;;;;
帥;0;8;0;スイ;;;;;
師;3;5;0;シ;;expert, teacher, master;;;
帯;3;4;0;タイ;お(びる);"sash; belt; obi; zone; region";;;
帳;0;3;0;チョウ;;;;;
帶;0;7;0;;;;;;
常;3;5;0;ジョウ;つね;usual, ordinary, normal;;;
帽;4;8;0;ボウ;;"cap; headgear";;;
幅;4;8;0;フク;はば;"hanging scroll; width";;;
幌;0;7;0;;;;;;
幕;0;6;0;バク, マク;;;;;
幡;0;7;0;;;;;;
幣;0;8;0;ヘイ;;;;;
干;4;6;0;カン;ほ(す), ひ(る);"dry; parch";;;
幸;3;3;0;コウ;さいわ(い), さち, しあわ(せ);happiness, blessing, fortune;;;
幹;4;5;0;カン, みき;;;;;
幻;0;8;0;ゲン, まぼろし;;;;;
幼;4;6;0;ヨウ;おさな(い);"infancy; childhood";;;
幽;0;8;0;ユウ;;;;;
幾;3;8;0;キ;いく(つ);how many, how much, some;;;
庁;4;6;0;チョウ;やくしょ;government office;;;
庄;0;7;0;;;;;;
庇;0;10;0;;;;;;
床;4;8;0;ショウ;とこ, ゆか;"bed; counter for beds; floor; padding; tatami";;;
序;0;5;0;ジョ;;;;;
底;4;4;0;テイ;そこ;"bottom; sole; depth; bottom price";;;
庚;0;7;0;;;;;;
庫;4;3;0;コ, ク;くら;"warehouse; storehouse";;;
庭;3;3;0;テイ;にわ;courtyard, garden, yard;;;
庵;0;10;0;;;;;;
庶;0;8;0;ショ;;;;;
康;3;4;0;コウ;;;;;
庸;0;8;0;ヨウ;;;;;
廃;0;8;0;ハイ, すたる, すたれる;;;;;
廉;0;8;0;レン;;;;;
廊;0;8;0;ロウ;;;;;
廟;0;7;0;;;;;;
廣;0;7;0;;;;;;
廳;0;7;0;;;;;;
延;4;6;0;エン;の(びる);"prolong; stretching";;;
廷;0;8;0;テイ;;;;;
廻;0;7;0;;;;;;
廿;0;7;0;;;;;;
弁;0;5;0;ベン;;;;;
弄;0;9;0;;;;;;
弊;0;8;0;ヘイ;;;;;
弐;0;8;0;ニ;;;;;
弓;0;2;0;キュウ, ゆみ;;;;;
弔;0;8;0;チョウ, とむらう;;;;;
弘;0;7;0;;;;;;
弛;0;7;0;;;;;;
弥;0;9;0;;;;;;
弦;0;8;0;ゲン, つる;;;;;
弧;0;8;0;コ;;;;;
張;4;5;0;チョウ, はる;;;;;
弾;0;8;0;ダン, たま, はずむ, ひく;;;;;
彈;0;7;0;;;;;;
